Income,AppliedOnline,Residence,YearCurrentAddress,YearsCurrentEmployer,NumberOfCards,CCDebt,Loans,LoanAmount,SalePrice,Location,MortgageDefault
49007,NO,Living with parents/guardian,14,18,1,13360,0,24375,200000,100,NO
43895,YES,Owner Occupier,7,18,1,446,1,9085,400000,110,NO
55497,YES,Owner Occupier,7,3,1,637,1,8980,229500,100,YES
45066,YES,Private Renting,16,15,1,860,1,6605,255000,100,YES
44202,NO,Owner Occupier,1,23,2,2611,0,12915,162000,101,NO
45518,YES,Private Renting,17,22,1,8231,1,16485,260000,130,NO
43890,YES,Owner Occupier,19,18,2,505,1,6960,348500,100,NO
44772,YES,Owner Occupier,9,6,1,469,0,7950,1060000,101,NO
44271,YES,Private Renting,17,20,1,284,1,6185,200000,130,YES
43874,NO,Owner Occupier,18,0,2,1320,1,10295,258000,100,YES
43888,YES,Owner Occupier,16,21,1,3820,1,7240,220000,100,YES
44194,YES,Private Renting,16,2,2,1007,1,8550,565000,120,YES
53201,NO,Owner Occupier,18,29,1,17134,0,16275,197307,100,NO
45238,YES,Owner Occupier,9,6,2,326,1,5515,160000,120,YES
54673,YES,Owner Occupier,15,22,2,3086,1,11875,180000,100,NO
46949,YES,Public Housing,0,2,2,1634,1,9720,300000,110,NO
57689,NO,Owner Occupier,25,19,1,331,1,9915,315000,100,YES
45869,YES,Private Renting,21,8,2,71,1,9240,325000,100,YES
43799,YES,Private Renting,11,4,1,145,0,8810,220000,100,NO
47026,NO,Private Renting,23,18,2,1368,0,6955,145000,130,NO
46645,NO,Owner Occupier,19,4,1,884,0,6045,475000,110,NO
44048,NO,Owner Occupier,0,6,1,222,0,10155,299000,101,NO
45970,NO,Owner Occupier,11,7,1,579,0,9280,132000,100,NO
45949,NO,Private Renting,17,7,1,3865,0,13010,149000,100,YES
45659,YES,Public Housing,12,17,1,9466,1,17050,340000,100,NO
43750,NO,Private Renting,13,6,1,988,1,7060,443000,100,NO
44318,YES,Owner Occupier,8,19,1,2096,0,9240,150876,100,NO
43761,NO,Owner Occupier,10,6,1,1418,0,11245,192500,100,NO
45673,YES,Owner Occupier,22,16,1,359,0,6670,185000,100,NO
54938,NO,Owner Occupier,5,15,2,268,0,8225,235000,130,NO
49409,YES,Owner Occupier,11,12,2,107,1,9745,190000,130,NO
54021,YES,Owner Occupier,2,4,1,101,1,12230,355000,100,YES
48084,YES,Owner Occupier,10,3,2,555,1,10500,265000,100,YES
50799,YES,Owner Occupier,22,19,2,1919,0,6020,185000,111,YES
46785,YES,Private Renting,14,4,1,1227,1,6510,300000,100,NO
53365,YES,Owner Occupier,21,26,1,3819,0,10250,230000,100,YES
50515,NO,Owner Occupier,3,5,1,1642,1,12725,106300,130,YES
55421,NO,Owner Occupier,11,3,2,1169,0,10715,245000,130,YES
47734,YES,Sheltered,23,6,2,2631,1,14355,150000,100,NO
44449,YES,Private Renting,9,16,1,4168,0,8450,258000,100,YES
55777,YES,Private Renting,1,11,2,453,0,6215,285000,100,YES
47422,YES,Owner Occupier,11,12,2,2010,1,12315,330000,100,YES
50302,YES,Owner Occupier,20,9,2,455,0,10490,535000,100,YES
44095,YES,Private Renting,13,4,1,368,0,8730,285000,100,NO
45153,NO,Owner Occupier,2,13,2,804,1,8900,146000,130,YES
43820,NO,Owner Occupier,3,3,2,230,0,12095,395000,110,NO
43633,YES,Public Housing,14,16,1,6100,0,7330,650000,110,NO
43976,NO,Public Housing,18,12,2,745,0,5145,350000,100,NO
43835,YES,Owner Occupier,3,1,2,1501,1,12220,144000,100,NO
45621,YES,Owner Occupier,1,19,1,1878,0,9260,195000,100,YES
45849,NO,Living with parents/guardian,13,9,2,364,1,12210,195000,100,YES
43408,YES,Owner Occupier,10,4,2,1106,0,10605,182500,130,NO
44394,NO,Owner Occupier,20,17,1,2041,0,10100,287500,100,NO
43982,YES,Owner Occupier,13,11,2,1055,0,9405,500000,110,NO
44936,YES,Owner Occupier,1,22,1,4502,0,11015,360000,110,NO
57004,YES,Private Renting,14,31,1,3561,0,6720,121000,100,NO
52545,YES,Owner Occupier,25,14,1,1125,0,8060,147000,100,YES
48061,YES,Private Renting,3,5,2,296,0,9680,190500,100,YES
50075,YES,Private Renting,4,18,2,3768,0,6095,150000,110,NO
43303,YES,Owner Occupier,2,7,2,866,1,10220,75000,100,NO
45159,NO,Owner Occupier,6,12,1,2310,0,12065,190000,100,NO
48931,YES,Owner Occupier,11,19,2,652,0,7795,190000,100,NO
44363,YES,Owner Occupier,5,19,1,1609,1,7325,250000,110,YES
44413,YES,Private Renting,13,16,2,885,0,4665,165000,100,YES
49988,YES,Private Renting,14,21,2,2660,0,9645,210000,100,NO
45450,YES,Owner Occupier,15,24,1,4217,0,8040,270000,100,YES
45081,NO,Owner Occupier,14,15,2,713,1,8430,140000,110,NO
47470,NO,Private Renting,9,12,1,2111,0,9255,104000,130,NO
44272,YES,Owner Occupier,12,20,1,645,1,10095,170000,100,YES
44460,YES,Owner Occupier,4,16,1,3467,1,9290,192000,100,YES
43707,YES,Owner Occupier,8,9,1,1131,0,9365,125000,100,NO
45419,YES,Private Renting,1,2,2,231,0,9200,131500,100,NO
45721,YES,Living with parents/guardian,3,14,1,294,1,7925,245000,100,NO
45103,NO,Owner Occupier,21,14,1,2327,1,5575,185000,100,YES
55112,YES,Living with parents/guardian,10,14,2,4113,1,14510,265000,100,YES
46823,YES,Private Renting,22,2,1,94,1,6575,281915,100,NO
56590,YES,Owner Occupier,27,8,2,332,0,6605,265000,100,YES
57683,YES,Owner Occupier,14,24,1,3275,1,10185,281915,100,YES
55752,YES,Owner Occupier,5,11,2,2048,1,6685,565000,100,YES
46168,YES,Private Renting,0,6,1,3762,1,12520,385000,120,YES
55565,NO,Owner Occupier,23,0,2,2219,0,11885,440000,110,YES
50076,YES,Private Renting,0,17,1,460,1,9385,675000,130,NO
45750,YES,Public Housing,13,13,1,1930,1,11355,209000,101,NO
45904,YES,Owner Occupier,22,7,1,60,0,4850,110000,110,NO
44477,NO,Private Renting,19,15,1,351,0,8290,220000,130,NO
45841,NO,Public Housing,11,12,2,4159,0,13350,350000,100,NO
44010,YES,Private Renting,4,7,2,542,1,10180,235000,100,NO
44378,YES,Private Renting,9,18,2,306,0,7445,582000,120,YES
45246,NO,Living with parents/guardian,6,5,1,737,1,5300,175000,130,YES
45266,NO,Public Housing,3,5,1,6805,0,21360,550000,100,YES
43362,YES,Owner Occupier,15,4,2,434,1,4320,650000,391,YES
59393,NO,Owner Occupier,34,18,2,2746,0,6845,400000,100,YES
56523,YES,Public Housing,20,10,1,2066,0,9340,157500,131,YES
55390,NO,Living with parents/guardian,23,3,1,812,0,7180,231000,130,NO
50445,YES,Public Housing,10,8,1,237,1,9310,250000,120,YES
49529,YES,Owner Occupier,9,10,1,342,0,7995,345000,110,YES
47161,YES,Public Housing,0,13,2,1096,1,4855,365000,110,NO
47019,NO,Private Renting,11,21,1,1138,1,8645,345000,110,NO
53731,NO,Public Housing,26,16,2,13160,1,17985,365000,110,NO
43514,YES,Private Renting,17,0,2,274,0,3425,250000,130,YES
52495,NO,Owner Occupier,18,16,2,2527,1,10375,195000,100,YES
45537,YES,Private Renting,22,21,2,2698,1,8885,1000000,110,YES
55215,YES,Private Renting,1,6,2,1930,0,9820,905000,110,NO
44892,YES,Private Renting,12,2,2,3337,0,11195,175000,110,NO
52173,YES,Public Housing,4,22,2,689,0,9720,140000,100,YES
49407,NO,Owner Occupier,23,13,2,1793,0,8950,180000,100,YES
49415,YES,Owner Occupier,17,11,1,150,0,6485,180000,101,YES
43622,YES,Owner Occupier,8,18,1,3828,1,5625,180000,100,YES
44298,NO,Owner Occupier,16,19,2,763,0,8410,170000,120,YES
45463,YES,Owner Occupier,2,23,2,478,1,13350,215000,100,NO
44705,YES,Owner Occupier,0,8,1,230,0,5720,275000,111,NO
50621,NO,Owner Occupier,24,22,2,1047,0,9940,350000,120,NO
49600,YES,Private Renting,5,9,2,3366,1,9065,330000,100,NO
48599,YES,Owner Occupier,16,25,1,1363,1,9385,447000,100,YES
43677,YES,Sheltered,16,9,1,740,0,10915,190000,100,NO
45993,NO,Public Housing,6,7,2,311,0,8670,199000,100,NO
52887,YES,Public Housing,10,9,2,1339,0,8560,185000,130,YES
44671,YES,Private Renting,16,9,2,3971,1,12050,270000,130,YES
50199,YES,Private Renting,5,12,1,1230,0,10070,199000,100,NO
54671,YES,Owner Occupier,25,28,2,3612,0,8610,250000,120,YES
53180,YES,Owner Occupier,9,31,2,11860,0,16335,335000,100,YES
43120,YES,Public Housing,4,10,1,801,1,6220,215000,100,YES
44039,YES,Owner Occupier,17,6,2,109,1,6590,235000,120,YES
43293,NO,Private Renting,16,7,1,2207,1,8450,260000,100,YES
44534,NO,Owner Occupier,9,13,2,805,0,8775,200000,130,YES
43739,NO,Owner Occupier,3,7,1,2247,1,10275,285000,100,YES
43648,NO,Owner Occupier,14,12,1,2496,1,6095,219000,100,NO
45283,NO,Public Housing,15,3,1,1460,1,13075,167000,100,YES
59276,YES,Public Housing,20,21,2,8000,1,8265,285000,100,NO
49850,YES,Living with parents/guardian,5,1,2,1265,1,4535,455000,100,NO
47568,YES,Private Renting,5,11,2,2391,1,12965,285000,100,YES
50833,YES,Public Housing,21,16,1,760,1,11585,270000,100,YES
50631,YES,Private Renting,26,21,2,2132,0,3110,299500,100,NO
57520,YES,Private Renting,25,19,1,890,0,11950,430000,121,NO
59179,YES,Living with parents/guardian,29,5,1,5780,1,11885,220000,111,NO
59692,NO,Owner Occupier,11,3,1,469,0,10100,190000,100,NO
56470,YES,Private Renting,31,15,2,390,0,7055,240000,110,YES
51859,YES,Private Renting,19,2,2,369,1,5290,360000,110,YES
54777,YES,Public Housing,26,17,2,2814,1,10895,260000,100,NO
44597,YES,Owner Occupier,10,12,2,468,0,8630,135000,100,NO
44728,YES,Private Renting,2,7,2,847,0,11580,237500,110,NO
45584,NO,Private Renting,2,19,1,1256,0,4150,474000,110,NO
44582,NO,Owner Occupier,1,13,1,1581,1,10410,238000,101,NO
44270,YES,Owner Occupier,3,22,2,962,1,7845,200000,111,NO
45549,NO,Owner Occupier,2,21,1,5791,0,13325,155500,100,NO
45712,YES,Owner Occupier,14,15,2,2216,0,8910,215000,100,NO
45654,YES,Public Housing,6,18,2,5471,0,6915,282000,130,YES
44898,NO,Owner Occupier,4,22,1,527,0,10270,288500,100,NO
48414,NO,Public Housing,9,0,2,232,0,9240,250000,110,YES
53307,YES,Owner Occupier,8,27,2,1984,1,9475,130000,100,NO
58878,NO,Owner Occupier,18,9,1,1680,0,6165,260000,100,YES
43977,YES,Public Housing,14,12,1,4763,1,11145,330000,120,NO
51561,NO,Public Housing,17,5,2,3010,0,16630,359850,100,NO
58785,NO,Private Renting,31,16,2,1111,0,7415,275000,130,NO
55140,NO,Owner Occupier,20,13,2,5095,0,8540,545000,100,NO
46501,YES,Private Renting,5,5,2,327,1,9070,325000,100,NO
59201,YES,Owner Occupier,12,25,1,12164,0,14795,545000,100,YES
45368,NO,Owner Occupier,4,2,2,711,1,10340,325000,100,NO
43651,YES,Private Renting,4,11,2,527,1,6090,265000,100,NO
49485,YES,Private Renting,24,10,1,563,1,4455,250000,100,YES
46965,NO,Public Housing,21,0,1,83,1,4070,498500,100,YES
46119,YES,Private Renting,1,6,1,104,0,11470,145000,100,YES
44150,YES,Owner Occupier,9,4,2,1038,1,9010,280000,110,YES
45217,NO,Owner Occupier,17,8,2,445,1,11455,315000,120,NO
45240,NO,Private Renting,12,5,2,1320,1,5840,368000,101,NO
44682,YES,Private Renting,12,9,1,1192,1,7320,475000,110,YES
43669,YES,Living with parents/guardian,18,10,1,2518,0,12500,325000,100,YES
45390,YES,Owner Occupier,3,2,2,154,0,11710,242500,110,NO
43348,NO,Sheltered,12,5,2,608,1,11720,200000,120,YES
57598,YES,Public Housing,25,16,1,2171,1,5140,207000,100,NO
51939,NO,Public Housing,5,2,1,382,0,11090,105000,101,YES
57623,YES,Owner Occupier,1,10,1,4133,1,10995,105000,101,NO
43146,NO,Owner Occupier,0,10,1,679,1,10420,105000,101,YES
57388,YES,Private Renting,23,22,1,3450,0,5365,105000,101,YES
49789,YES,Owner Occupier,2,4,2,44,0,9340,200000,100,NO
47623,YES,Owner Occupier,12,7,2,1358,1,7365,275000,130,YES
45318,NO,Private Renting,2,3,1,461,1,7665,305000,130,YES
44005,YES,Private Renting,16,8,2,25,1,6920,179000,130,NO
44306,YES,Owner Occupier,15,19,2,7995,1,13220,275000,130,YES
43185,NO,Living with parents/guardian,0,8,1,20,0,9420,305000,130,NO
45001,YES,Public Housing,11,17,1,2134,1,9285,370000,110,YES
45313,YES,Owner Occupier,13,3,2,341,1,4065,290000,130,YES
45194,NO,Owner Occupier,15,10,2,1678,1,12915,273000,120,NO
43876,YES,Private Renting,13,0,2,98,1,5330,252500,100,NO
44395,YES,Owner Occupier,20,16,2,1299,1,8750,290000,100,YES
53550,NO,Public Housing,11,23,1,544,1,7260,250000,120,YES
50816,YES,Owner Occupier,0,17,2,2031,1,8075,300000,130,YES
53660,YES,Private Renting,23,17,1,380,1,7945,378000,100,NO
59944,YES,Owner Occupier,20,11,2,3894,0,9880,750000,110,NO
54451,YES,Private Renting,14,30,1,3312,1,9440,150000,100,NO
58914,NO,Living with parents/guardian,11,7,1,1562,1,9490,260000,100,YES
47035,NO,Living with parents/guardian,8,15,1,2003,0,10915,390000,100,YES
43794,YES,Owner Occupier,9,6,2,1430,0,9020,143000,101,NO
53102,NO,Owner Occupier,15,1,1,1147,0,7590,215000,100,YES
45452,YES,Owner Occupier,12,24,1,5490,1,10040,328000,100,NO
44787,YES,Owner Occupier,9,4,2,982,0,8175,295000,100,NO
51498,YES,Private Renting,26,9,1,589,1,10150,295000,100,NO
57376,YES,Private Renting,21,27,2,684,1,9845,540000,110,YES
51724,YES,Owner Occupier,15,3,1,88,1,7150,140000,101,YES
52772,YES,Owner Occupier,23,9,2,1348,1,8340,285000,100,NO
58529,YES,Sheltered,0,9,1,1108,0,11775,275000,100,NO
53983,YES,Public Housing,1,9,2,2117,0,9585,319000,100,NO
44294,YES,Owner Occupier,9,20,2,3195,1,10825,211000,130,YES
43608,NO,Owner Occupier,2,20,1,452,0,7610,410000,100,YES
44261,NO,Owner Occupier,9,22,1,823,1,8010,323600,100,YES
43823,NO,Living with parents/guardian,14,1,2,2245,1,9795,175000,130,NO
43151,NO,Private Renting,6,9,1,681,1,7290,320000,110,NO
44072,YES,Owner Occupier,5,5,1,1250,0,10590,275000,100,YES
44230,YES,Owner Occupier,9,22,2,3106,0,540,350000,100,NO
50552,YES,Owner Occupier,5,23,1,466,0,6880,380000,110,YES
53704,YES,Owner Occupier,21,17,2,490,1,2825,425000,100,YES
53842,YES,Owner Occupier,25,13,2,3115,0,6150,625000,100,NO
58381,YES,Private Renting,16,12,1,829,0,11750,455000,100,NO
51385,YES,Owner Occupier,14,10,1,777,0,7430,260000,101,NO
47111,YES,Private Renting,1,14,2,1001,1,10510,425000,110,YES
49866,NO,Owner Occupier,10,24,1,2493,0,9340,2095000,101,NO
48607,YES,Owner Occupier,19,23,2,985,1,4415,170000,100,NO
43593,YES,Owner Occupier,13,0,1,2315,0,12820,180000,130,NO
44202,YES,Owner Occupier,8,0,2,748,0,10455,170000,100,NO
45715,YES,Owner Occupier,8,14,2,772,1,12985,137000,100,NO
44974,YES,Public Housing,14,18,2,2772,0,9515,264000,130,NO
52725,YES,Private Renting,26,9,2,12,0,4415,98000,100,NO
43795,YES,Public Housing,17,5,2,1171,0,11285,153000,100,YES
43650,YES,Public Housing,8,12,1,267,0,7800,355000,100,NO
44483,NO,Owner Occupier,16,15,2,116,0,7535,245000,130,YES
51383,NO,Owner Occupier,19,12,2,1119,1,7955,222500,101,NO
52540,YES,Sheltered,0,15,2,397,0,8250,215000,120,YES
45217,YES,Private Renting,19,8,1,732,0,5860,240000,120,YES
44895,YES,Owner Occupier,8,0,2,888,1,8915,310000,100,YES
45813,NO,Owner Occupier,10,13,1,59,0,7385,103000,101,YES
55554,YES,Public Housing,27,0,1,708,0,8615,235000,100,NO
43908,NO,Public Housing,18,15,1,4242,0,7915,190000,100,NO
57718,YES,Owner Occupier,25,16,2,1555,1,6285,155000,130,YES
44052,YES,Owner Occupier,13,5,2,375,0,9305,235000,100,YES
44193,YES,Public Housing,18,3,1,260,0,6605,284500,120,NO
45115,YES,Private Renting,11,13,2,5189,1,16935,164000,101,NO
58505,YES,Owner Occupier,11,9,2,668,0,5370,150000,100,NO
51945,NO,Public Housing,19,0,1,25,1,7480,290000,110,YES
49008,YES,Private Renting,10,16,2,216,0,10910,145000,130,NO
54013,YES,Private Renting,9,4,1,996,0,11105,156000,100,NO
52896,YES,Owner Occupier,19,6,2,1655,1,8975,260000,110,YES
54603,NO,Owner Occupier,8,30,2,1562,1,7760,150000,100,NO
48511,NO,Owner Occupier,21,25,1,793,0,9550,260000,120,NO
59036,YES,Owner Occupier,7,6,1,495,1,8915,193000,101,YES
44997,NO,Public Housing,6,18,1,1238,1,8070,176000,100,NO
44617,NO,Owner Occupier,4,10,2,154,1,925,275000,100,YES
43482,YES,Owner Occupier,4,1,1,361,1,8375,499250,100,NO
43989,YES,Owner Occupier,8,10,1,30,1,5805,410000,101,NO
56891,NO,Owner Occupier,26,1,1,1543,1,5545,570000,100,NO
58026,YES,Living with parents/guardian,17,13,1,6156,0,15905,153000,100,YES
53791,YES,Owner Occupier,1,15,1,1844,1,11855,173900,100,YES
51219,YES,Private Renting,14,15,2,1292,1,7005,165000,111,YES
56486,YES,Owner Occupier,5,11,1,696,1,4240,110000,100,NO
49007,NO,Living with parents/guardian,14,18,1,13360,0,24375,200000,100,NO
45066,YES,Private Renting,16,15,1,860,1,6605,255000,100,YES
44202,NO,Owner Occupier,1,23,2,2611,0,12915,162000,101,NO
43890,YES,Owner Occupier,19,18,2,505,1,6960,348500,100,NO
53201,NO,Owner Occupier,18,29,1,17134,0,16275,197307,100,NO
54673,YES,Owner Occupier,15,22,2,3086,1,11875,180000,100,NO
57689,NO,Owner Occupier,25,19,1,331,1,9915,315000,100,YES
45869,YES,Private Renting,21,8,2,71,1,9240,325000,100,YES
47026,NO,Private Renting,23,18,2,1368,0,6955,145000,130,NO
46645,NO,Owner Occupier,19,4,1,884,0,6045,475000,110,NO
45970,NO,Owner Occupier,11,7,1,579,0,9280,132000,100,NO
45949,NO,Private Renting,17,7,1,3865,0,13010,149000,100,YES
45659,YES,Public Housing,12,17,1,9466,1,17050,340000,100,NO
43761,NO,Owner Occupier,10,6,1,1418,0,11245,192500,100,NO
46785,YES,Private Renting,14,4,1,1227,1,6510,300000,100,NO
53365,YES,Owner Occupier,21,26,1,3819,0,10250,230000,100,YES
55421,NO,Owner Occupier,11,3,2,1169,0,10715,245000,130,YES
47734,YES,Sheltered,23,6,2,2631,1,14355,150000,100,NO
55777,YES,Private Renting,1,11,2,453,0,6215,285000,100,YES
44095,YES,Private Renting,13,4,1,368,0,8730,285000,100,NO
45153,NO,Owner Occupier,2,13,2,804,1,8900,146000,130,YES
45621,YES,Owner Occupier,1,19,1,1878,0,9260,195000,100,YES
43408,YES,Owner Occupier,10,4,2,1106,0,10605,182500,130,NO
57004,YES,Private Renting,14,31,1,3561,0,6720,121000,100,NO
45159,NO,Owner Occupier,6,12,1,2310,0,12065,190000,100,NO
48931,YES,Owner Occupier,11,19,2,652,0,7795,190000,100,NO
45081,NO,Owner Occupier,14,15,2,713,1,8430,140000,110,NO
44460,YES,Owner Occupier,4,16,1,3467,1,9290,192000,100,YES
43707,YES,Owner Occupier,8,9,1,1131,0,9365,125000,100,NO
45721,YES,Living with parents/guardian,3,14,1,294,1,7925,245000,100,NO
55565,NO,Owner Occupier,23,0,2,2219,0,11885,440000,110,YES
45750,YES,Public Housing,13,13,1,1930,1,11355,209000,101,NO
44477,NO,Private Renting,19,15,1,351,0,8290,220000,130,NO
45266,NO,Public Housing,3,5,1,6805,0,21360,550000,100,YES
55390,NO,Living with parents/guardian,23,3,1,812,0,7180,231000,130,NO
50445,YES,Public Housing,10,8,1,237,1,9310,250000,120,YES
43514,YES,Private Renting,17,0,2,274,0,3425,250000,130,YES
52495,NO,Owner Occupier,18,16,2,2527,1,10375,195000,100,YES
45537,YES,Private Renting,22,21,2,2698,1,8885,1000000,110,YES
44892,YES,Private Renting,12,2,2,3337,0,11195,175000,110,NO
43677,YES,Sheltered,16,9,1,740,0,10915,190000,100,NO
52887,YES,Public Housing,10,9,2,1339,0,8560,185000,130,YES
44671,YES,Private Renting,16,9,2,3971,1,12050,270000,130,YES
44039,YES,Owner Occupier,17,6,2,109,1,6590,235000,120,YES
49850,YES,Living with parents/guardian,5,1,2,1265,1,4535,455000,100,NO
50631,YES,Private Renting,26,21,2,2132,0,3110,299500,100,NO
56470,YES,Private Renting,31,15,2,390,0,7055,240000,110,YES
54777,YES,Public Housing,26,17,2,2814,1,10895,260000,100,NO
44597,YES,Owner Occupier,10,12,2,468,0,8630,135000,100,NO
44270,YES,Owner Occupier,3,22,2,962,1,7845,200000,111,NO
45712,YES,Owner Occupier,14,15,2,2216,0,8910,215000,100,NO
53307,YES,Owner Occupier,8,27,2,1984,1,9475,130000,100,NO
43977,YES,Public Housing,14,12,1,4763,1,11145,330000,120,NO
58785,NO,Private Renting,31,16,2,1111,0,7415,275000,130,NO
55140,NO,Owner Occupier,20,13,2,5095,0,8540,545000,100,NO
46501,YES,Private Renting,5,5,2,327,1,9070,325000,100,NO
45368,NO,Owner Occupier,4,2,2,711,1,10340,325000,100,NO
43651,YES,Private Renting,4,11,2,527,1,6090,265000,100,NO
46119,YES,Private Renting,1,6,1,104,0,11470,145000,100,YES
45217,NO,Owner Occupier,17,8,2,445,1,11455,315000,120,NO
44682,YES,Private Renting,12,9,1,1192,1,7320,475000,110,YES
45390,YES,Owner Occupier,3,2,2,154,0,11710,242500,110,NO
